Date,Department,Category,Amount
1/1/2025,Mens,Labor, $184.50 
1/2/2025,Womens,Labor, $410.07 
1/3/2025,Children,Labor, $645.54 
1/4/2025,Outdoor,Labor, $298.87 
1/5/2025,Home,Labor, $528.17 
1/6/2025,Automotive,Labor, $348.36 
1/7/2025,Appliances,Labor, $547.60 
1/8/2025,Stationary,Labor, $639.71 
1/9/2025,Mens,Marketing, $632.54 
1/10/2025,Womens,Marketing, $434.57 
1/11/2025,Children,Marketing, $115.36 
1/12/2025,Outdoor,Marketing, $586.95 
1/13/2025,Home,Marketing, $430.91 
1/14/2025,Automotive,Marketing, $621.10 
1/15/2025,Appliances,Marketing, $174.11 
1/16/2025,Stationary,Marketing, $505.07 
1/17/2025,Mens,Other, $264.10 
1/18/2025,Womens,Other, $280.11 
1/19/2025,Children,Other, $617.89 
1/20/2025,Outdoor,Other, $226.11 
1/21/2025,Home,Other, $204.07 
1/22/2025,Automotive,Other, $656.73 
1/23/2025,Appliances,Other, $248.98 
1/24/2025,Stationary,Other, $522.47 
